TargetUR_x,TargetUR_y,TargetUL_x,TargetUL_y,TargetLR_x,TargetLR_y,TargetLL_x,TargetLL_y,ObstacleUR_x,ObstacleUR_y,ObstacleUL_x,ObstacleUL_y,ObstacleLR_x,ObstacleLR_y,ObstacleLL_x,ObstacleLL_y,ObstacleSizeUR_x,ObstacleSizeUR_y,ObstacleSizeUL_x,ObstacleSizeUL_y,ObstacleSizeLR_x,ObstacleSizeLR_y,ObstacleSizeLL_x,ObstacleSizeLL_y
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3
3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3.1,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4,4,4,4,4,4,4,4,4
4.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4.1,4,4,4.1,4,4.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4.1,4,4,4,4,4,4.1,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4.1,4,4,4,4,4,4.1,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4.1,4,4,4,4,4,4.1,4,4.1,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5.1,5,5,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5.1,5.1,5,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5.1,5,5.1,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5,5,5,5,5,5,5,5
6,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6.1,6,6,6,6,6,6,6
6,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6.1,6,6,6,6,6,6
6,6,6,6,6.1,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6.1,6.1,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6.1,6,6.1,6.1,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6.1,6,6,6,6,6,6,6,6,6
6,6,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6.1,6,6,6,6,6,6,6,6
6,6,6,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6.1,6.1,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7.1,7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7.1,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7.1,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7.1,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7.1,7,7,7,7,7,7.1,7,7,7,7,7,7,7
8,8,8,8,8,8.1,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8.1,8,8,8,8,8,8,8,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8.1,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8.1,8,8,8.1,8,8.1,8.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8.1,8,8,8.1,8,8,8,8.1,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.1,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8.1,8,8,8,8,8,8,8,8,8,8
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.1,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9.1,9,9,9,9,9,9,9.1,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9.1,9,9,9,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9.1,9,9,9,9,9,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9.1,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9.1,9,9,9,9.1,9,9.1,9,9.1,9,9.1,9,9,9,9,9,9,9,9,9,9
9,9.1,9.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.1,9,9,9,9,9,9
