TargetUR_x,TargetUR_y,TargetUL_x,TargetUL_y,TargetLR_x,TargetLR_y,TargetLL_x,TargetLL_y,ObstacleUR_x,ObstacleUR_y,ObstacleUL_x,ObstacleUL_y,ObstacleLR_x,ObstacleLR_y,ObstacleLL_x,ObstacleLL_y,ObstacleSizeUR_x,ObstacleSizeUR_y,ObstacleSizeUL_x,ObstacleSizeUL_y,ObstacleSizeLR_x,ObstacleSizeLR_y,ObstacleSizeLL_x,ObstacleSizeLL_y
6.128759,3.76314,-3.52889,3.101927,3.253534,-2.3441,-5.532948,-3.945621,2.437206,3.050471,-1.776857,3.737848,3.764785,-3.709867,-5.54064,-3.523956,1.528889,1.379071,0.5867388,0.852481,2.49854,2.890947,1.37537,1.818158
2.673002,3.893069,-1.204675,2.866994,2.415143,-3.287559,-5.084944,-2.234005,4.08092,3.035522,-1.652096,1.838479,5.170582,-2.166599,-5.252057,-3.152142,0.8700387,2.800215,2.811683,2.410302,0.9908711,1.747269,2.091134,2.917026
3.050067,3.618797,-5.276949,3.201322,3.337396,-2.748187,-1.690486,-3.704394,4.917669,1.5067,-4.118307,1.802194,5.418555,-2.40903,-3.60914,-3.674266,1.304497,1.881702,2.690331,2.411066,1.016892,1.453962,1.878376,2.441722
4.71425,1.071781,-4.892695,3.342576,1.021221,-3.145212,-6.540795,-2.921003,3.734892,2.71554,-2.178844,1.785573,1.941708,-2.486023,-5.189948,-3.799127,1.45246,2.865911,2.003242,2.589217,2.708285,1.730061,2.918293,2.708914
2.720738,3.033668,-4.089931,1.896495,3.569437,-2.415689,-6.37992,-3.16883,1.269005,3.832402,-1.423917,2.606047,2.582896,-3.191543,-5.294359,-2.85676,1.252372,1.80359,1.652212,0.6513395,1.120033,2.520475,0.9165021,0.9084581
1.362047,3.561148,-3.815828,2.620619,5.633752,-2.19217,-3.909841,-2.602804,4.523357,2.573235,-5.333161,2.898246,4.292614,-3.081141,-4.603185,-3.038363,0.7499017,2.218389,2.315046,0.7285504,2.547108,2.399388,0.5885701,2.521225
4.799856,1.218648,-6.070933,1.97074,6.769034,-3.277062,-3.880566,-3.264294,4.682667,1.695732,-4.099802,1.915312,2.072534,-2.929326,-4.288047,-3.148921,2.730963,1.997655,2.188184,2.686328,1.536227,1.96545,1.875356,2.435318
2.741408,3.297741,-1.353865,2.908441,2.504006,-2.396883,-4.119989,-3.872058,5.764718,3.665545,-2.866616,1.431252,3.411902,-2.558466,-4.1407,-3.64454,0.9588774,2.471503,2.777901,2.779732,2.104763,2.99189,2.435545,1.327119
3.779288,2.287168,-4.288626,2.014732,6.068078,-3.486057,-2.637974,-3.146189,2.854564,3.56383,-4.793005,3.151475,2.510288,-2.872295,-2.288239,-2.133469,1.058392,0.8537232,1.268468,2.572772,2.740586,0.8449073,0.6658887,2.924852
2.76192,2.5905,-3.50958,3.911891,4.528005,-2.995271,-4.888376,-2.369355,6.261638,3.416934,-2.485651,2.687922,5.138978,-3.938325,-3.759399,-2.770964,2.600064,2.308763,1.104526,0.7043778,0.8548089,0.7913225,0.7978352,0.8890446
2.899764,1.266955,-2.832745,1.48301,3.530299,-3.398575,-1.711135,-2.42947,5.615653,3.010118,-6.9077,2.972673,5.461139,-2.213477,-1.961833,-3.066039,2.791515,0.5610766,2.128404,0.5223497,1.198616,1.747047,2.349836,0.828902
5.911108,2.407254,-3.69479,2.417997,3.019427,-2.252461,-3.190869,-3.810652,1.403195,3.131683,-6.112915,3.813332,2.626204,-3.215279,-2.769506,-2.545485,0.6178077,2.596273,2.684619,0.8015989,1.792772,1.276042,1.271934,1.422161
3.985571,3.060395,-4.550428,3.646187,5.028906,-3.624697,-6.644526,-3.727631,3.782723,3.233033,-1.519736,2.39676,4.626212,-3.397668,-1.206872,-3.256894,2.709277,2.892129,2.803359,1.629558,0.8575906,1.503085,1.762778,0.8325692
6.639882,2.382054,-5.106138,3.124843,2.251196,-3.250156,-1.749838,-2.255479,4.56387,1.77013,-3.47405,2.171458,2.328255,-2.839234,-2.543324,-2.941806,2.047581,2.81502,2.9681,2.901534,2.865429,2.496883,2.893196,2.500024
5.900346,3.016528,-4.632891,2.851303,5.857181,-3.251469,-3.420491,-3.784567,2.532021,1.664085,-2.109299,2.148502,2.363045,-3.819028,-5.095994,-3.540578,1.341935,1.079282,0.7763957,2.246308,1.264965,0.9279119,0.6809427,0.7089319
5.952067,2.794709,-5.501442,1.240245,6.238136,-3.119099,-4.287459,-2.829154,2.589841,3.176393,-2.239888,1.936917,3.459439,-3.234785,-4.169891,-3.98047,0.6459116,1.880455,2.115555,1.566209,1.370334,1.663377,0.527855,2.027412
3.327989,1.755157,-1.469912,2.076804,5.304207,-2.717451,-6.06758,-3.043707,4.261023,2.083707,-2.391346,1.245056,5.239715,-2.97786,-4.228024,-2.832872,2.891613,1.844305,0.7401543,2.530924,2.695356,2.911412,0.5648049,1.30336
6.032114,2.265072,-1.282242,2.083869,2.229572,-3.515268,-2.05606,-3.375238,5.492442,1.062134,-1.122686,2.962784,6.838326,-3.271102,-6.811631,-3.52809,1.347994,0.6776838,2.953353,0.9460019,2.415706,2.703742,2.496253,1.655844
5.052206,2.813741,-1.929529,2.309551,5.28836,-2.323365,-2.950723,-2.958893,5.930959,1.540977,-5.013681,2.350799,5.272721,-2.647527,-2.880614,-3.265434,1.997804,2.518402,0.9189852,0.904568,2.974997,1.285337,1.344238,2.201202
2.434762,1.838952,-2.908619,2.621446,4.972782,-3.603961,-6.613631,-3.412866,3.530345,3.785304,-6.571809,3.547907,5.391182,-3.520277,-6.017738,-3.451421,1.11784,1.873943,1.063779,2.060998,0.8789294,0.7209932,1.153212,2.979254
4.544911,2.446237,-4.785169,2.517209,4.565491,-2.679182,-4.818699,-2.155376,2.613193,3.466567,-2.088323,3.637293,3.398742,-3.456589,-3.419399,-2.276402,1.254941,0.6205027,1.407319,0.8656217,1.962675,2.857338,1.231511,1.134405
4.942581,2.668884,-6.994103,3.930139,6.952308,-3.84514,-2.151677,-3.050049,1.508643,3.709359,-3.663362,3.037013,3.464401,-3.94425,-3.438764,-2.205198,1.82908,2.254663,1.788946,0.7137077,0.8723544,1.985176,2.745586,2.356597
6.490366,1.907954,-2.787283,3.488331,6.663808,-3.570378,-5.05742,-3.799158,1.396928,2.254701,-1.833208,1.356406,5.312699,-3.160285,-4.351855,-3.780772,1.874504,2.832835,2.598196,1.242893,0.7160665,0.7356833,1.17746,2.06281
3.231016,3.723229,-6.833832,2.312533,5.05245,-3.736891,-1.840299,-2.45677,6.101537,1.282638,-2.968172,1.474541,3.342629,-3.105869,-4.457459,-3.428629,2.475691,2.454019,1.133808,1.720435,1.306649,0.6700962,1.179961,1.637431
6.157703,2.360551,-5.714146,2.354944,3.738808,-2.266402,-6.734439,-3.328157,5.175931,1.859863,-5.479909,3.377729,6.863495,-2.420689,-3.444129,-3.315544,1.198695,1.481353,1.053249,2.422484,1.692493,1.738778,2.41222,1.731758
3.391642,3.590706,-2.408917,3.823787,3.954476,-3.353147,-2.708311,-3.81204,2.434626,1.403662,-2.740579,2.364846,1.635416,-3.339429,-3.261603,-2.079405,1.148834,1.784373,2.859921,2.267788,1.629544,2.529504,1.347381,1.228192
5.301254,2.820589,-6.568945,2.546584,5.843376,-3.349525,-6.9059,-2.096273,1.218187,2.480515,-2.760625,3.420114,4.929493,-2.075213,-6.257008,-3.048353,1.866257,2.925787,1.878092,2.412867,2.412015,2.13748,1.673982,2.0839
5.047749,2.439764,-1.212173,2.115768,1.77928,-2.68485,-1.30349,-2.232006,2.574077,2.440404,-2.055623,3.446876,4.196767,-2.301576,-5.873744,-3.506012,0.8407082,0.744987,2.410205,0.9173729,2.004367,0.5707355,1.597076,1.826912
6.774071,3.210905,-6.468681,1.894891,1.909395,-3.349981,-3.002291,-2.617336,3.469476,1.306347,-5.246997,2.967475,5.886717,-3.710122,-6.431837,-2.881871,2.946398,1.049028,1.402222,0.6389968,2.624238,1.842891,1.127834,2.783123
1.486739,3.158798,-5.542313,2.149687,3.017886,-2.230631,-5.325942,-2.167163,5.865452,2.098365,-5.546149,3.943843,6.43262,-2.942965,-1.885478,-2.507849,2.790557,0.9721716,0.7113256,2.274595,2.101082,2.637932,0.5793406,1.786245
1.564733,2.337541,-3.29214,3.608788,2.018988,-3.780199,-5.674995,-3.305325,3.714249,1.885402,-3.658878,3.079148,5.605937,-3.481764,-3.692767,-3.720013,0.5372934,1.495672,1.301731,2.163787,2.48128,1.716121,2.691163,2.811769
3.290011,1.365269,-6.562582,3.884209,2.789107,-3.200092,-1.995866,-2.299581,4.509052,2.424356,-6.071877,3.103404,1.11049,-3.719911,-3.898363,-3.219423,1.419808,1.005674,0.512143,1.762972,1.346811,1.737251,2.127501,1.06309
6.926058,1.27548,-5.381727,2.235522,5.907056,-2.357391,-3.681705,-2.149486,6.66031,1.248988,-3.54748,1.82421,1.971018,-3.884451,-1.956192,-2.45909,2.313396,1.255613,2.20206,1.966182,2.101365,1.026522,2.445332,1.733585
2.608258,3.355115,-4.908276,2.359853,5.350567,-3.950716,-4.978112,-3.57121,1.761115,1.869356,-4.141793,3.400424,3.64463,-2.587584,-6.066957,-2.144293,1.333308,1.427874,0.8922045,0.5409642,1.405803,1.317653,1.405203,2.452116
4.510837,1.630719,-1.062369,3.344147,2.513253,-2.33768,-1.213996,-3.202041,5.343132,3.477234,-4.248853,3.730721,6.406553,-2.223198,-6.433744,-3.413613,0.8127456,0.9818937,2.390312,2.838051,0.7300513,2.364754,2.858474,1.320892
4.691232,2.156008,-5.121163,1.336271,5.554644,-3.940646,-2.195391,-2.888485,3.991904,2.613385,-1.597683,1.317405,4.679646,-2.228449,-6.152959,-3.205515,0.5526315,2.448566,1.721088,0.8242034,2.317682,2.511069,2.585728,0.6601321
4.467929,2.474548,-3.625005,2.203824,2.479681,-2.297523,-2.61748,-2.77713,4.048402,1.167432,-5.575504,2.301955,6.706221,-2.822116,-3.471625,-2.830587,1.385835,1.229189,0.8758362,2.354535,1.447143,1.805401,0.8479826,2.322227
5.728671,1.599529,-3.489899,3.35017,1.261175,-2.546702,-5.028725,-3.353302,5.712533,2.953069,-3.926762,3.895921,4.407688,-2.769105,-4.326184,-3.00821,2.381098,2.658601,1.889541,2.665035,2.61883,1.384518,1.217955,0.6486388
4.103593,2.928797,-1.556441,3.150239,6.811681,-2.515921,-4.981721,-3.020456,6.054245,1.680991,-6.251308,2.394334,5.299973,-3.201078,-3.604693,-2.950817,0.856341,2.610179,1.324016,2.13638,2.305022,0.5584504,1.877449,0.5171497
1.869624,2.412538,-5.112116,2.697565,5.920648,-3.557693,-5.00826,-2.893233,6.42686,2.649484,-3.36058,2.034317,6.364674,-2.085881,-3.424613,-2.329869,1.791588,1.792316,1.263799,1.067553,1.443564,1.123947,1.028327,0.9874206
4.203639,3.815711,-1.167785,2.01782,1.104392,-2.493771,-5.808456,-2.70826,6.093031,2.501505,-5.164193,3.106788,1.124421,-2.101842,-5.267754,-2.360308,2.656267,2.272093,1.147098,1.091066,0.7907017,0.9187882,2.957141,1.291783
5.690454,2.819788,-5.259883,3.11967,2.057725,-2.56016,-6.873617,-3.405793,1.336663,2.106241,-2.739322,2.363494,4.962798,-3.374476,-5.243374,-2.176902,0.7990341,2.877221,1.400131,2.254638,2.073375,2.232286,2.028954,1.134053
5.607967,3.329743,-4.080792,2.276134,2.430454,-2.199676,-1.500947,-3.886407,1.510447,2.978992,-6.081209,3.569621,4.066173,-2.220833,-3.632308,-3.930519,2.777611,2.017637,2.813176,2.925177,2.39916,2.092424,1.898443,0.5722009
6.942187,2.937932,-4.215819,2.419004,5.855248,-3.725715,-1.640575,-2.761075,1.611197,1.56945,-6.327518,1.996304,2.972797,-3.65777,-3.386139,-3.687208,1.771117,2.652839,2.438152,1.186497,2.052819,2.294105,0.8230667,2.700311
2.634376,3.643685,-4.609154,1.671168,6.992102,-3.239592,-3.431501,-3.554194,3.012604,1.130199,-1.740904,3.208483,5.313749,-3.031248,-3.028443,-2.995024,1.250888,2.014124,1.852356,2.428413,0.7019688,2.614399,2.507935,1.862073
1.489193,1.731075,-1.642588,3.693404,1.624177,-2.441475,-4.881883,-2.846733,6.656776,3.123387,-4.514024,3.706314,1.309786,-2.498261,-6.34578,-2.139208,1.126715,2.109251,1.948707,1.849507,2.95048,1.991701,1.034114,2.048714
5.91046,1.122056,-4.147526,3.776037,6.880535,-2.193768,-5.906796,-2.311587,1.75024,2.785541,-2.512169,2.775413,4.360329,-3.244532,-4.085548,-3.518556,1.038574,1.27662,2.540197,1.835747,2.751991,2.221685,1.795627,1.893936
2.496138,1.880083,-4.872419,1.804431,1.89863,-3.481907,-2.731544,-2.434568,4.798262,1.980069,-2.981697,1.068439,6.679554,-3.324027,-2.318345,-3.121256,0.779071,1.081339,0.5050238,1.317365,2.977571,1.194998,0.6654446,1.948919
2.032666,2.797757,-6.051184,3.440179,4.809936,-2.234755,-5.979796,-3.417792,2.73405,2.184706,-5.285821,1.829926,5.929033,-2.176468,-6.70469,-3.831848,1.206113,1.72837,1.770668,2.317461,2.23305,0.8229868,1.40959,2.539557
5.712224,2.047584,-3.840384,2.268393,2.311193,-2.981067,-1.53895,-3.356447,6.273405,2.294572,-6.975869,2.2094,6.836968,-3.070236,-5.970366,-3.989613,0.9345134,2.511072,2.439581,1.228179,1.339892,2.397122,0.754381,1.696872
4.584661,2.81387,-1.792111,2.077635,3.986966,-3.52549,-2.369735,-3.806561,5.838037,3.088305,-1.907425,1.148241,1.856567,-2.827998,-4.905632,-2.277089,2.771849,2.47929,1.082033,1.502355,1.938424,1.033102,2.993073,1.376531
4.436209,2.165843,-5.009181,2.601656,3.246992,-2.775005,-6.092889,-2.449819,3.794738,3.263284,-6.307047,2.11318,6.776427,-2.254482,-4.435491,-2.833762,2.351934,2.784232,1.64702,1.724677,1.130262,2.174896,1.470414,2.183517
2.595835,3.189012,-5.694834,3.044589,6.029068,-3.771918,-6.746865,-2.202195,3.56622,1.816993,-4.268525,2.078394,6.937019,-2.929676,-6.783241,-3.05774,1.616694,2.666394,2.599987,1.224393,1.726495,0.9171601,1.842098,2.742758
4.982449,3.264334,-5.292464,1.090608,5.786633,-3.055369,-4.602665,-2.625626,5.72387,2.807269,-2.549803,1.325156,6.802938,-3.460981,-2.09126,-2.60481,2.101905,0.7716115,2.73349,2.607446,2.315106,1.786774,1.538182,0.6584202
1.377042,2.761311,-4.944717,2.057901,3.803869,-2.699385,-3.944011,-2.696049,3.694982,1.054989,-5.449011,3.263741,3.636774,-3.652659,-5.025074,-2.992904,1.166266,1.519636,2.038142,2.353536,1.65006,1.588304,1.77249,0.9213381
5.42084,1.949151,-2.013197,3.165394,6.76185,-3.863108,-1.590678,-3.19144,2.591846,2.443526,-3.996923,3.112526,6.828019,-2.196674,-1.955035,-2.070837,1.208389,1.479517,2.131458,1.514186,1.109584,1.128404,0.6269472,0.8610072
5.757811,1.387946,-1.285473,3.00596,1.496302,-3.269714,-6.060052,-2.163365,6.574118,3.731262,-4.453928,3.61901,4.612349,-3.074863,-6.80624,-2.383322,1.115428,1.437196,1.788284,1.571831,2.657772,2.513835,1.613249,0.8250456
2.572343,2.277584,-5.475717,1.399563,4.365052,-3.007605,-6.816361,-2.894316,5.656748,3.630401,-4.651251,2.72121,2.971838,-2.887776,-5.345826,-2.11425,1.912287,2.395159,0.71258,2.375082,0.9179874,1.321867,2.557404,2.948552
5.666498,3.241844,-1.240893,2.062559,5.836475,-2.35552,-3.636199,-3.847459,5.435968,1.108573,-2.279387,1.862672,2.1835,-3.401504,-3.040413,-3.282193,2.365814,2.867559,2.364887,2.950626,0.6796058,0.8677511,2.146205,2.877457
5.813038,2.430525,-1.074975,3.390687,3.458467,-3.138592,-3.257717,-2.206516,4.333838,1.067769,-2.741862,2.09852,4.667145,-2.983391,-1.352303,-3.823076,2.650338,2.471467,1.645274,0.7526179,1.285226,2.820663,1.457686,1.183952
1.112392,2.170088,-6.569062,2.435074,3.184967,-2.211263,-1.506659,-3.846622,6.471144,1.355156,-6.670063,3.9276,4.353126,-2.720837,-5.350553,-3.099009,1.102708,0.5610018,1.078219,1.719362,0.8846204,0.9082018,1.124268,2.827211
1.790363,2.962456,-3.688173,2.325597,1.084759,-2.273379,-1.94985,-3.530869,5.383867,1.722286,-6.077078,3.66441,3.384822,-3.664767,-3.57587,-2.188184,2.492347,1.257231,1.757923,2.409847,0.6509061,2.612741,2.00807,1.212525
5.067364,1.024037,-1.2426,1.993805,3.440881,-2.550111,-4.030161,-3.935133,2.136492,2.208285,-1.93739,3.151978,6.33302,-3.923813,-6.394671,-3.483416,2.592067,0.9455975,1.935018,2.587883,1.212985,2.704155,0.6140162,0.5056621
2.652406,3.152538,-2.180767,2.312232,6.190873,-3.647184,-1.717049,-2.545209,2.291407,2.146063,-6.867804,3.82094,2.988386,-2.7211,-3.909287,-2.791131,0.7463749,1.901717,2.149455,2.608845,2.09488,1.028627,0.5613728,2.963551
5.224775,1.247541,-2.106889,2.832323,5.873565,-3.758447,-4.294932,-3.367902,1.253562,3.764667,-2.469668,1.709843,1.268978,-2.958506,-5.819664,-3.581239,1.954037,2.126636,1.470427,0.7145046,0.9290843,1.410881,0.8173253,2.042917
2.856321,2.404064,-4.222135,3.814771,3.112032,-2.365469,-5.935613,-3.648454,5.69521,3.003236,-5.842081,1.778505,2.446806,-3.926162,-2.828663,-3.145166,2.974167,1.581732,2.25222,2.935059,1.75942,2.291406,0.6539931,2.594809
4.112819,1.561047,-1.897842,3.642754,5.318176,-3.899309,-3.032957,-2.769013,4.427478,3.652373,-3.118363,3.944646,2.411582,-2.722002,-4.663219,-2.97858,2.699544,0.8939399,1.598655,2.379233,1.56321,2.459821,1.101632,1.913393
3.527972,3.625961,-5.847438,1.739652,2.123715,-3.418584,-3.665752,-2.085895,6.338935,1.926201,-3.524417,1.657671,4.04147,-2.028809,-6.720773,-2.079643,2.568818,1.359889,1.492346,1.010474,1.577052,1.750194,1.092503,2.762393
4.802972,2.970201,-2.353987,3.651339,6.328674,-2.252692,-1.626376,-3.129426,3.847747,1.662827,-5.181316,2.955188,2.676311,-3.166378,-3.245462,-3.223212,2.240859,1.013435,2.195362,0.6423162,2.613034,2.059623,0.689513,2.036875
5.100452,3.049243,-4.905845,3.537171,3.734027,-2.561443,-1.917551,-2.155709,5.220483,3.889127,-4.563524,2.891387,4.616684,-3.13841,-3.602599,-3.349926,2.984689,2.391026,0.62023,1.544328,0.8945315,1.19315,2.101819,0.9045543
4.046528,1.24343,-2.620478,3.073134,2.566329,-3.682806,-4.437322,-2.795216,3.928997,2.874128,-1.874626,2.549157,4.33335,-3.250028,-5.380754,-3.63322,1.724668,2.680375,1.138866,2.17142,0.9928786,2.02246,0.650502,0.5577459
2.494411,3.56099,-6.385056,1.406844,3.385691,-2.182662,-3.653627,-3.51692,3.668009,2.18542,-6.063136,3.60901,4.332074,-3.742964,-1.620143,-3.607583,1.601902,2.900698,2.211138,1.567205,0.5797641,2.710035,2.185377,1.59004
3.334436,1.767966,-2.754972,2.733742,2.636922,-2.079608,-4.757915,-3.623502,3.681645,2.359824,-4.443743,2.223326,1.406598,-3.859637,-4.8875,-2.295718,1.396622,2.519567,2.492707,1.970728,1.999582,2.644256,1.666104,1.537785
1.752933,3.983769,-2.207059,1.705275,6.680805,-2.322879,-5.469112,-2.844108,3.464688,3.852479,-1.033625,1.971685,4.886925,-3.084363,-1.956211,-3.849597,0.9963574,0.539314,2.835147,1.728718,1.131172,2.221624,2.891474,0.9374677
1.409848,2.410508,-4.183444,1.248638,3.380366,-3.490151,-6.998331,-2.960392,5.196446,2.0543,-4.71734,1.321652,4.501524,-3.021296,-4.642664,-2.352064,0.8869048,2.438563,1.259854,2.938284,0.7508453,0.5262982,1.04906,1.653511
4.616199,2.011164,-6.327941,2.696702,1.587915,-3.477426,-3.589976,-2.879807,6.742908,3.992285,-2.803036,3.174962,5.236701,-2.983057,-3.847242,-2.445755,2.932039,0.9808989,0.6230106,2.429602,2.260688,1.665693,2.984264,0.7060866
2.105779,2.178651,-3.53238,2.307945,2.562375,-2.68006,-6.23964,-2.095762,5.48786,3.085315,-3.079671,3.445771,6.60871,-3.429782,-3.759214,-3.652762,2.709517,2.642648,0.5788897,1.301163,2.41625,2.874727,1.534683,1.097675
3.577417,1.003607,-5.48747,1.624622,1.820863,-3.357255,-1.723571,-3.104566,4.86102,2.740086,-2.556607,1.768895,4.547357,-2.903786,-4.417132,-2.604877,0.733672,2.340495,2.527442,1.332679,2.01995,2.04073,1.428797,2.948757
2.273688,1.232099,-3.213991,1.960072,6.644894,-2.202427,-1.847209,-2.549004,4.169087,1.217504,-5.172415,1.114024,1.591151,-3.85598,-5.959328,-3.771338,2.734193,1.064681,2.530832,1.424967,2.852479,0.8619188,0.5210854,0.6042989
6.122378,3.93799,-3.527058,3.495111,1.351152,-3.587736,-1.153397,-3.098684,1.245218,1.071556,-5.195212,2.730272,1.84324,-3.952059,-5.313863,-3.761606,0.7320832,1.822775,1.428886,0.7282372,1.87625,1.326062,2.414306,2.800369
4.456139,2.938297,-3.797753,2.462626,2.609141,-3.424393,-1.744459,-3.972458,2.495934,3.512476,-5.7723,3.250965,2.16397,-2.802411,-2.869049,-2.973773,1.704632,0.7628046,2.095819,1.485159,1.511257,2.267207,1.916369,2.217266
3.951081,1.452713,-4.298023,1.997383,5.913811,-2.817567,-1.388367,-3.213691,1.859436,2.59485,-1.497965,2.554514,5.472472,-2.514854,-3.076404,-3.209823,1.603884,0.8377253,0.9584408,2.27598,1.529688,1.760938,2.882168,0.5328508
2.91855,1.018333,-4.98364,2.135655,1.419271,-2.022388,-1.653098,-2.689344,5.372386,1.895898,-1.409024,3.375811,2.57535,-3.059759,-6.318708,-2.653444,1.493818,1.703197,2.842216,0.6344955,1.631871,0.9089805,2.729626,1.583541
2.413948,1.022912,-4.52554,2.003172,3.596889,-2.385988,-4.318373,-2.66054,4.141912,3.489712,-1.198405,2.186376,6.545951,-3.702786,-2.356912,-2.23007,1.741471,1.312172,0.9307863,1.462955,2.616125,1.533047,0.8788638,0.6906309
1.837115,3.885637,-4.511621,1.089231,3.544973,-3.115302,-5.315494,-2.844206,5.633166,1.438324,-1.799929,3.393525,2.310324,-2.707114,-4.645112,-3.490593,1.283738,0.762073,2.959082,1.067869,1.298764,1.205079,2.870814,1.202605
5.20517,1.930802,-2.880775,2.664877,3.576346,-2.508476,-1.847663,-2.142756,5.51829,2.13662,-5.741129,2.746646,3.774281,-2.421288,-6.251468,-3.093006,2.311389,2.147135,1.797867,1.92291,2.893586,0.6400068,0.807169,2.923257
6.233292,1.854568,-2.449176,1.915449,6.673493,-3.146467,-6.185446,-3.006097,1.939134,1.463378,-5.223987,2.338682,5.205262,-2.152361,-2.123163,-3.037217,2.401834,2.351158,2.747385,2.312004,2.954744,2.228225,1.977661,2.578983
1.862241,3.538009,-5.783566,1.524731,4.551143,-2.965569,-4.303232,-2.612923,6.512432,1.624374,-1.114093,2.504391,3.923781,-2.016787,-4.913414,-2.431783,1.529635,0.7518296,1.281726,2.679237,1.596188,1.845936,1.02157,1.865736
4.611422,3.508184,-4.650744,3.134512,6.784472,-3.572986,-2.710852,-3.668637,6.245475,2.72704,-6.936007,1.4994,2.744404,-2.607298,-3.264659,-3.571727,0.6814517,2.231333,2.751731,2.109783,2.839872,1.72393,2.958876,2.519256
4.558722,2.156095,-6.990429,2.32238,2.169837,-2.140597,-1.461961,-3.0953,2.235979,2.855502,-1.138806,2.441522,3.382996,-3.563208,-5.617035,-3.937601,1.013112,1.963196,2.919098,2.005174,2.52879,2.618752,0.6299003,1.725773
5.166855,1.026489,-4.926527,3.233214,3.318814,-2.775332,-4.009661,-2.457834,4.457252,1.945493,-5.397724,3.250982,2.748937,-3.83214,-4.817072,-3.304702,2.552613,0.9406786,1.518137,1.283852,2.989634,2.603849,0.5614864,2.049919
4.139995,2.883222,-2.921739,1.459377,2.765932,-2.029891,-1.368895,-3.90761,4.029539,1.536946,-4.660763,2.940552,2.941854,-2.296376,-1.194725,-3.646038,1.037994,2.406524,1.511717,2.986051,2.379595,1.409815,2.517289,1.082751
